,,,,MW 
sc2015,y2030,2030-01-02T11:00:00+01:00,Cogeneration,386.2314961000001
sc2015,y2030,2030-01-02T11:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-02T11:00:00+01:00,CCGT,1287.3779652550004
sc2015,y2030,2030-01-02T11:00:00+01:00,Onshore_wind,348.0546275100001
sc2015,y2030,2030-01-02T11:00:00+01:00,PumpedStorage_Hydro,336.63765967500007
sc2015,y2030,2030-01-02T11:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-02T11:00:00+01:00,Hydro_UGH,0.0
sc2015,y2030,2030-01-02T11:00:00+01:00,Solar_PV,1466.4600532499999
sc2015,y2030,2030-01-02T13:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-02T13:00:00+01:00,Cogeneration,379.72641305
sc2015,y2030,2030-01-02T13:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-02T13:00:00+01:00,CCGT,1180.0168605949991
sc2015,y2030,2030-01-02T13:00:00+01:00,Onshore_wind,232.24119189500001
sc2015,y2030,2030-01-02T13:00:00+01:00,PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-02T13:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-02T13:00:00+01:00,Hydro_UGH,0.0
sc2015,y2030,2030-01-02T13:00:00+01:00,Solar_PV,1852.4301060000003
sc2015,y2030,2030-01-02T15:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-02T15:00:00+01:00,Cogeneration,381.41849195
sc2015,y2030,2030-01-02T15:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-02T15:00:00+01:00,CCGT,1287.3779652550004
sc2015,y2030,2030-01-02T15:00:00+01:00,Onshore_wind,234.40527662500003
sc2015,y2030,2030-01-02T15:00:00+01:00,PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-02T15:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
