,,,Up,Down
sc01,y2030,2030-01-09T13:00:00+01:00,17.86188705,17.86188705
sc01,y2030,2030-01-09T14:00:00+01:00,17.94960062,17.94960062
sc01,y2030,2030-01-09T15:00:00+01:00,18.34279936,18.34279936
sc01,y2030,2030-01-09T16:00:00+01:00,18.93989733,18.93989733
sc01,y2030,2030-01-09T17:00:00+01:00,19.13013632,19.13013632
sc01,y2030,2030-01-09T18:00:00+01:00,18.57193259,18.57193259
sc01,y2030,2030-01-09T19:00:00+01:00,17.79997469,17.79997469
sc01,y2030,2030-01-09T20:00:00+01:00,16.93082288,16.93082288
sc01,y2030,2030-01-09T21:00:00+01:00,16.02534316,16.02534316
sc01,y2030,2030-01-09T22:00:00+01:00,15.09071725,15.09071725
sc01,y2030,2030-01-09T23:00:00+01:00,14.19362217,14.19362217
sc01,y2030,2030-01-10T00:00:00+01:00,13.7220062,13.7220062
sc01,y2030,2030-01-10T01:00:00+01:00,13.3780143,13.3780143
sc01,y2030,2030-01-10T02:00:00+01:00,13.22038827,13.22038827
sc01,y2030,2030-01-10T03:00:00+01:00,13.32381513,13.32381513
sc01,y2030,2030-01-10T04:00:00+01:00,14.06926928,14.06926928
sc01,y2030,2030-01-10T05:00:00+01:00,15.5254927,15.5254927
sc01,y2030,2030-01-10T06:00:00+01:00,16.95146729,16.95146729
sc01,y2030,2030-01-10T07:00:00+01:00,17.85961989,17.85961989
sc01,y2030,2030-01-10T08:00:00+01:00,18.11997818,18.11997818
sc01,y2030,2030-01-10T09:00:00+01:00,18.26927087,18.26927087
sc01,y2030,2030-01-10T10:00:00+01:00,18.13628251,18.13628251
sc01,y2030,2030-01-10T11:00:00+01:00,17.93951536,17.93951536
sc01,y2030,2030-01-10T12:00:00+01:00,17.83466552,17.83466552
sc01,y2030,2030-01-10T13:00:00+01:00,17.7296436,17.7296436
sc01,y2030,2030-01-10T14:00:00+01:00,17.88176305,17.88176305
sc01,y2030,2030-01-10T15:00:00+01:00,18.40602218,18.40602218
sc01,y2030,2030-01-10T16:00:00+01:00,18.95840826,18.95840826
sc01,y2030,2030-01-10T17:00:00+01:00,19.21659834,19.21659834
sc01,y2030,2030-01-10T18:00:00+01:00,18.68683063,18.68683063
sc01,y2030,2030-01-10T19:00:00+01:00,17.97717525,17.97717525
sc01,y2030,2030-01-10T20:00:00+01:00,17.1121739,17.1121739
sc01,y2030,2030-01-10T21:00:00+01:00,16.24748594,16.24748594
sc01,y2030,2030-01-10T22:00:00+01:00,15.37616857,15.37616857
sc01,y2030,2030-01-10T23:00:00+01:00,14.49130611,14.49130611
sc01,y2030,2030-01-11T00:00:00+01:00,14.02175876,14.02175876
sc01,y2030,2030-01-11T01:00:00+01:00,13.73088822,13.73088822
sc01,y2030,2030-01-11T02:00:00+01:00,13.53695809,13.53695809
sc01,y2030,2030-01-11T03:00:00+01:00,13.65032394,13.65032394
sc01,y2030,2030-01-11T04:00:00+01:00,14.3817545,14.3817545
sc01,y2030,2030-01-11T05:00:00+01:00,15.8590972,15.8590972
sc01,y2030,2030-01-11T06:00:00+01:00,17.29952657,17.29952657
sc01,y2030,2030-01-11T07:00:00+01:00,18.20459132,18.20459132
sc01,y2030,2030-01-11T08:00:00+01:00,18.49559125,18.49559125
sc01,y2030,2030-01-11T09:00:00+01:00,18.68498175,18.68498175
sc01,y2030,2030-01-11T10:00:00+01:00,18.61960262,18.61960262
sc01,y2030,2030-01-11T11:00:00+01:00,18.41583642,18.41583642
sc01,y2030,2030-01-11T12:00:00+01:00,18.3780104,18.3780104
sc01,y2030,2030-01-11T13:00:00+01:00,18.27817771,18.27817771
sc01,y2030,2030-01-11T14:00:00+01:00,18.37132506,18.37132506
sc01,y2030,2030-01-11T15:00:00+01:00,18.77896734,18.77896734
sc01,y2030,2030-01-11T16:00:00+01:00,19.21334071,19.21334071
sc01,y2030,2030-01-11T17:00:00+01:00,19.4132073,19.4132073
sc01,y2030,2030-01-11T18:00:00+01:00,18.85156658,18.85156658
sc01,y2030,2030-01-11T19:00:00+01:00,18.09494141,18.09494141
sc01,y2030,2030-01-11T20:00:00+01:00,17.21150657,17.21150657
sc01,y2030,2030-01-11T21:00:00+01:00,16.37895371,16.37895371
sc01,y2030,2030-01-11T22:00:00+01:00,15.46089918,15.46089918
sc01,y2030,2030-01-11T23:00:00+01:00,14.57789454,14.57789454
sc01,y2030,2030-01-12T00:00:00+01:00,14.09838999,14.09838999
sc01,y2030,2030-01-12T01:00:00+01:00,13.76893231,13.76893231
sc01,y2030,2030-01-12T02:00:00+01:00,13.59117811,13.59117811
sc01,y2030,2030-01-12T03:00:00+01:00,13.69500274,13.69500274
sc01,y2030,2030-01-12T04:00:00+01:00,14.45233742,14.45233742
sc01,y2030,2030-01-12T05:00:00+01:00,15.92150827,15.92150827
sc01,y2030,2030-01-12T06:00:00+01:00,17.33620825,17.33620825
sc01,y2030,2030-01-12T07:00:00+01:00,18.16397428,18.16397428
sc01,y2030,2030-01-12T08:00:00+01:00,18.41038642,18.41038642
sc01,y2030,2030-01-12T09:00:00+01:00,18.55271083,18.55271083
sc01,y2030,2030-01-12T10:00:00+01:00,18.43568561,18.43568561
sc01,y2030,2030-01-12T11:00:00+01:00,18.15990325,18.15990325
sc01,y2030,2030-01-12T12:00:00+01:00,17.95355418,17.95355418
sc01,y2030,2030-01-12T13:00:00+01:00,17.77426118,17.77426118
sc01,y2030,2030-01-12T14:00:00+01:00,17.80305824,17.80305824
sc01,y2030,2030-01-12T15:00:00+01:00,18.19896262,18.19896262
sc01,y2030,2030-01-12T16:00:00+01:00,18.75385512,18.75385512
sc01,y2030,2030-01-12T17:00:00+01:00,18.88153777,18.88153777
sc01,y2030,2030-01-12T18:00:00+01:00,18.28171662,18.28171662
sc01,y2030,2030-01-12T19:00:00+01:00,17.50940628,17.50940628
sc01,y2030,2030-01-12T20:00:00+01:00,16.65173326,16.65173326
sc01,y2030,2030-01-12T21:00:00+01:00,15.98968603,15.98968603
sc01,y2030,2030-01-12T22:00:00+01:00,15.18771028,15.18771028
sc01,y2030,2030-01-12T23:00:00+01:00,14.32464947,14.32464947
sc01,y2030,2030-01-13T00:00:00+01:00,13.78216698,13.78216698
sc01,y2030,2030-01-13T01:00:00+01:00,13.39890392,13.39890392
sc01,y2030,2030-01-13T02:00:00+01:00,13.05749556,13.05749556
sc01,y2030,2030-01-13T03:00:00+01:00,12.89708314,12.89708314
sc01,y2030,2030-01-13T04:00:00+01:00,12.94376536,12.94376536
sc01,y2030,2030-01-13T05:00:00+01:00,13.50190886,13.50190886
sc01,y2030,2030-01-13T06:00:00+01:00,14.2789597,14.2789597
sc01,y2030,2030-01-13T07:00:00+01:00,14.97152778,14.97152778
sc01,y2030,2030-01-13T08:00:00+01:00,15.58909013,15.58909013
sc01,y2030,2030-01-13T09:00:00+01:00,15.96649516,15.96649516
sc01,y2030,2030-01-13T10:00:00+01:00,15.97657876,15.97657876
sc01,y2030,2030-01-13T11:00:00+01:00,15.84477213,15.84477213
sc01,y2030,2030-01-13T12:00:00+01:00,15.46603348,15.46603348
sc01,y2030,2030-01-13T13:00:00+01:00,15.23078112,15.23078112
sc01,y2030,2030-01-13T14:00:00+01:00,15.17405169,15.17405169
sc01,y2030,2030-01-13T15:00:00+01:00,15.70859861,15.70859861
sc01,y2030,2030-01-13T16:00:00+01:00,16.44489608,16.44489608
sc01,y2030,2030-01-13T17:00:00+01:00,16.84345347,16.84345347
sc01,y2030,2030-01-13T18:00:00+01:00,16.45955637,16.45955637
sc01,y2030,2030-01-13T19:00:00+01:00,15.89355076,15.89355076
sc01,y2030,2030-01-13T20:00:00+01:00,15.33887402,15.33887402
sc01,y2030,2030-01-13T21:00:00+01:00,14.81552062,14.81552062
sc01,y2030,2030-01-13T22:00:00+01:00,14.1841147,14.1841147
sc01,y2030,2030-01-13T23:00:00+01:00,13.46025537,13.46025537
sc01,y2030,2030-01-14T00:00:00+01:00,13.02057297,13.02057297
sc01,y2030,2030-01-14T01:00:00+01:00,12.63202505,12.63202505
sc01,y2030,2030-01-14T02:00:00+01:00,12.29648332,12.29648332
sc01,y2030,2030-01-14T03:00:00+01:00,12.10403507,12.10403507
sc01,y2030,2030-01-14T04:00:00+01:00,12.00851565,12.00851565
sc01,y2030,2030-01-14T05:00:00+01:00,12.24077447,12.24077447
sc01,y2030,2030-01-14T06:00:00+01:00,12.60391763,12.60391763
sc01,y2030,2030-01-14T07:00:00+01:00,13.10500873,13.10500873
sc01,y2030,2030-01-14T08:00:00+01:00,13.75639159,13.75639159
sc01,y2030,2030-01-14T09:00:00+01:00,14.36676295,14.36676295
sc01,y2030,2030-01-14T10:00:00+01:00,14.60068995,14.60068995
sc01,y2030,2030-01-14T11:00:00+01:00,14.56584259,14.56584259
sc01,y2030,2030-01-14T12:00:00+01:00,14.28849198,14.28849198
sc01,y2030,2030-01-14T13:00:00+01:00,14.07171349,14.07171349
sc01,y2030,2030-01-14T14:00:00+01:00,14.04675813,14.04675813
sc01,y2030,2030-01-14T15:00:00+01:00,14.64155319,14.64155319
sc01,y2030,2030-01-14T16:00:00+01:00,15.67251029,15.67251029
sc01,y2030,2030-01-14T17:00:00+01:00,16.31158771,16.31158771
sc01,y2030,2030-01-14T18:00:00+01:00,16.23523875,16.23523875
sc01,y2030,2030-01-14T19:00:00+01:00,15.90963965,15.90963965
sc01,y2030,2030-01-14T20:00:00+01:00,15.47120153,15.47120153
sc01,y2030,2030-01-14T21:00:00+01:00,14.94632489,14.94632489
sc01,y2030,2030-01-14T22:00:00+01:00,14.2225473,14.2225473
sc01,y2030,2030-01-14T23:00:00+01:00,13.50972629,13.50972629
sc01,y2030,2030-01-15T00:00:00+01:00,13.15852355,13.15852355
sc01,y2030,2030-01-15T01:00:00+01:00,12.8974551,12.8974551
sc01,y2030,2030-01-15T02:00:00+01:00,12.76331147,12.76331147
sc01,y2030,2030-01-15T03:00:00+01:00,12.95218441,12.95218441
sc01,y2030,2030-01-15T04:00:00+01:00,13.87354455,13.87354455
sc01,y2030,2030-01-15T05:00:00+01:00,15.58739845,15.58739845
sc01,y2030,2030-01-15T06:00:00+01:00,17.15990714,17.15990714
sc01,y2030,2030-01-15T07:00:00+01:00,18.12042162,18.12042162
sc01,y2030,2030-01-15T08:00:00+01:00,18.40820298,18.40820298
sc01,y2030,2030-01-15T09:00:00+01:00,18.56833974,18.56833974
sc01,y2030,2030-01-15T10:00:00+01:00,18.46721479,18.46721479
sc01,y2030,2030-01-15T11:00:00+01:00,18.24906891,18.24906891
sc01,y2030,2030-01-15T12:00:00+01:00,18.12277019,18.12277019
sc01,y2030,2030-01-15T13:00:00+01:00,17.940801,17.940801
sc01,y2030,2030-01-15T14:00:00+01:00,17.9598348,17.9598348
sc01,y2030,2030-01-15T15:00:00+01:00,18.44493793,18.44493793
sc01,y2030,2030-01-15T16:00:00+01:00,19.06350232,19.06350232
sc01,y2030,2030-01-15T17:00:00+01:00,19.31060642,19.31060642
sc01,y2030,2030-01-15T18:00:00+01:00,18.73957804,18.73957804
sc01,y2030,2030-01-15T19:00:00+01:00,18.02226274,18.02226274
sc01,y2030,2030-01-15T20:00:00+01:00,17.13318067,17.13318067
sc01,y2030,2030-01-15T21:00:00+01:00,16.2791594,16.2791594
sc01,y2030,2030-01-15T22:00:00+01:00,15.33671176,15.33671176
sc01,y2030,2030-01-15T23:00:00+01:00,14.46216092,14.46216092
sc01,y2030,2030-01-16T00:00:00+01:00,14.03189663,14.03189663
sc01,y2030,2030-01-16T01:00:00+01:00,13.70537756,13.70537756
sc01,y2030,2030-01-16T02:00:00+01:00,13.53242541,13.53242541
sc01,y2030,2030-01-16T03:00:00+01:00,13.64735588,13.64735588
sc01,y2030,2030-01-16T04:00:00+01:00,14.40904188,14.40904188
sc01,y2030,2030-01-16T05:00:00+01:00,15.89174689,15.89174689
sc01,y2030,2030-01-16T06:00:00+01:00,17.36078338,17.36078338
sc01,y2030,2030-01-16T07:00:00+01:00,18.25229444,18.25229444
sc01,y2030,2030-01-16T08:00:00+01:00,18.52255962,18.52255962
sc01,y2030,2030-01-16T09:00:00+01:00,18.66962751,18.66962751
sc01,y2030,2030-01-16T10:00:00+01:00,18.56845755,18.56845755
sc01,y2030,2030-01-16T11:00:00+01:00,18.33155354,18.33155354
sc01,y2030,2030-01-16T12:00:00+01:00,18.24135771,18.24135771
sc01,y2030,2030-01-16T13:00:00+01:00,18.08860652,18.08860652
sc01,y2030,2030-01-16T14:00:00+01:00,18.13487442,18.13487442
sc01,y2030,2030-01-16T15:00:00+01:00,18.57721216,18.57721216
sc01,y2030,2030-01-16T16:00:00+01:00,19.1188776,19.1188776
sc01,y2030,2030-01-16T17:00:00+01:00,19.28246095,19.28246095
