,ni,nf,cc,PotentialBenefitRatio
113,Node_9,Node_1,nc02,105503069.38998356
114,Node_9,Node_1,nc03,105503069.38998356
115,Node_9,Node_1,nc04,126603914.86400592
116,Node_9,Node_2,nc01,1380259.0062674931
117,Node_9,Node_2,nc02,1840359.3770188869
118,Node_9,Node_2,nc03,1840359.3770188869
119,Node_9,Node_2,nc04,2208435.5396186914
120,Node_9,Node_3,nc01,470912.81705576874
121,Node_9,Node_3,nc02,627888.7220842034
122,Node_9,Node_3,nc03,627888.7220842034
123,Node_9,Node_3,nc04,753467.9834063753
124,Node_9,Node_4,nc01,5314766.743980405
125,Node_9,Node_4,nc02,7086455.031837107
126,Node_9,Node_4,nc03,7086455.031837107
127,Node_9,Node_4,nc04,8503776.392733125
128,Node_9,Node_5,nc01,2875032.157034453
129,Node_9,Node_5,nc02,3833405.2886465983
130,Node_9,Node_5,nc03,3833405.2886465983
131,Node_9,Node_5,nc04,4600095.228854834
132,Node_9,Node_6,nc01,12709574.618241476
133,Node_9,Node_6,nc02,16946727.60513336
134,Node_9,Node_6,nc03,16946727.60513336
135,Node_9,Node_6,nc04,20336264.99540223
136,Node_9,Node_7,nc01,8151993.67839165
137,Node_9,Node_7,nc02,10869702.575361254
138,Node_9,Node_7,nc03,10869702.575361254
139,Node_9,Node_7,nc04,13043758.45673674
140,Node_9,Node_8,nc01,2029238.9467828376
141,Node_9,Node_8,nc02,2705685.7311172546
142,Node_9,Node_8,nc03,2705685.7311172546
143,Node_9,Node_8,nc04,3246833.2024995186
